"","pb","altitude","aspect1","preciptn","roughness1","slope","tempAvg","tempMin"
"531",1,NA,NA,NA,NA,NA,NA,NA
"532",1,1223,142.077255249023,270,440,946959.875,182,139
"533",1,58,236.633636474609,167,35,73637.625,265,217
"534",1,NA,NA,NA,NA,NA,NA,NA
"535",1,943,186.764526367188,235,376,1744645.125,203,158
"536",1,NA,NA,NA,NA,NA,NA,NA
"537",1,NA,NA,NA,NA,NA,NA,NA
"538",1,NA,NA,NA,NA,NA,NA,NA
"539",1,NA,NA,NA,NA,NA,NA,NA
"540",1,NA,NA,NA,NA,NA,NA,NA
"541",1,NA,NA,NA,NA,NA,NA,NA
"542",1,NA,NA,NA,NA,NA,NA,NA
"543",1,26,230.017974853516,39,178,436543.8125,268,215
"544",1,26,230.017974853516,39,178,436543.8125,268,215
"545",1,26,230.017974853516,39,178,436543.8125,268,215
"546",1,147,170.662933349609,49,187,563972.0625,256,207
"547",1,26,230.017974853516,39,178,436543.8125,268,215
"548",1,26,230.017974853516,39,178,436543.8125,268,215
"549",1,26,230.017974853516,39,178,436543.8125,268,215
"550",1,NA,NA,NA,NA,NA,NA,NA
"551",1,3,NA,135,NA,NA,269,220
"552",1,NA,NA,NA,NA,NA,NA,NA
"553",1,NA,NA,NA,NA,NA,NA,NA
"554",1,NA,NA,NA,NA,NA,NA,NA
"555",1,NA,NA,NA,NA,NA,NA,NA
"556",1,NA,NA,NA,NA,NA,NA,NA
"557",1,NA,NA,NA,NA,NA,NA,NA
"558",1,NA,NA,NA,NA,NA,NA,NA
"559",1,NA,NA,NA,NA,NA,NA,NA
"560",1,NA,NA,NA,NA,NA,NA,NA
"561",1,NA,NA,NA,NA,NA,NA,NA
"562",1,NA,NA,NA,NA,NA,NA,NA
"563",1,NA,NA,NA,NA,NA,NA,NA
"564",1,1167,286.778442382812,168,546,1247091,198,157
"565",1,NA,NA,NA,NA,NA,NA,NA
"566",1,NA,NA,NA,NA,NA,NA,NA
"567",1,NA,NA,NA,NA,NA,NA,NA
"568",1,1167,286.778442382812,168,546,1247091,198,157
"569",1,NA,NA,NA,NA,NA,NA,NA
"570",1,1167,286.778442382812,168,546,1247091,198,157
"571",1,NA,NA,NA,NA,NA,NA,NA
"572",1,NA,NA,NA,NA,NA,NA,NA
"573",1,NA,NA,NA,NA,NA,NA,NA
"574",1,NA,NA,NA,NA,NA,NA,NA
"575",1,NA,NA,NA,NA,NA,NA,NA
"576",1,NA,NA,NA,NA,NA,NA,NA
"577",1,118,77.1957321166992,194,28,135366.171875,254,205
"578",1,112,30.9637565612793,196,30,131196.421875,249,202
"579",1,95,231.340194702148,195,35,57628.1171875,250,202
"580",1,95,231.340194702148,195,35,57628.1171875,250,202
"581",1,862,211.861526489258,238,268,886585,206,161
"582",1,98,45,188,74,97580.734375,252,205
"583",1,67,168.407821655273,187,28,119436.171875,255,207
"584",1,678,120.616233825684,212,323,1272371.375,221,175
"585",1,128,60.0183601379395,195,28,90049.984375,255,206
"586",1,128,60.0183601379395,195,28,90049.984375,255,206
"587",1,67,168.407821655273,187,28,119436.171875,255,207
"588",1,98,45,188,74,97580.734375,252,205
"589",1,835,137.888153076172,228,212,1178830.125,209,164
"590",1,862,211.861526489258,238,268,886585,206,161
"591",1,862,211.861526489258,238,268,886585,206,161
"592",1,NA,NA,NA,NA,NA,NA,NA
"593",1,NA,NA,NA,NA,NA,NA,NA
"594",1,NA,NA,NA,NA,NA,NA,NA
"595",1,NA,NA,NA,NA,NA,NA,NA
"596",1,NA,NA,NA,NA,NA,NA,NA
"597",1,NA,NA,NA,NA,NA,NA,NA
"598",1,NA,NA,NA,NA,NA,NA,NA
"599",1,NA,NA,NA,NA,NA,NA,NA
"600",1,NA,NA,NA,NA,NA,NA,NA
"601",1,NA,NA,NA,NA,NA,NA,NA
"602",1,NA,NA,NA,NA,NA,NA,NA
"603",1,NA,NA,NA,NA,NA,NA,NA
"604",1,NA,NA,NA,NA,NA,NA,NA
"605",1,NA,NA,NA,NA,NA,NA,NA
"606",1,862,211.861526489258,238,268,886585,206,161
"607",1,33,30.1735191345215,281,19,74608.984375,258,221
"608",1,835,137.888153076172,228,212,1178830.125,209,164
"609",1,NA,NA,NA,NA,NA,NA,NA
"610",1,NA,NA,NA,NA,NA,NA,NA
"611",1,NA,NA,NA,NA,NA,NA,NA
"612",1,NA,NA,NA,NA,NA,NA,NA
"613",1,NA,NA,NA,NA,NA,NA,NA
"614",1,NA,NA,NA,NA,NA,NA,NA
"615",1,NA,NA,NA,NA,NA,NA,NA
"616",1,NA,NA,NA,NA,NA,NA,NA
"617",1,NA,NA,NA,NA,NA,NA,NA
"618",1,NA,NA,NA,NA,NA,NA,NA
"619",1,NA,NA,NA,NA,NA,NA,NA
"620",1,NA,NA,NA,NA,NA,NA,NA
"621",1,NA,NA,NA,NA,NA,NA,NA
"622",1,NA,NA,NA,NA,NA,NA,NA
"623",1,NA,NA,NA,NA,NA,NA,NA
"624",1,NA,NA,NA,NA,NA,NA,NA
"625",1,NA,NA,NA,NA,NA,NA,NA
"626",1,NA,NA,NA,NA,NA,NA,NA
"627",1,NA,NA,NA,NA,NA,NA,NA
"628",1,NA,NA,NA,NA,NA,NA,NA
"629",1,NA,NA,NA,NA,NA,NA,NA
"630",1,NA,NA,NA,NA,NA,NA,NA
"631",1,NA,NA,NA,NA,NA,NA,NA
"632",1,NA,NA,NA,NA,NA,NA,NA
"633",1,NA,NA,NA,NA,NA,NA,NA
"634",1,NA,NA,NA,NA,NA,NA,NA
"635",1,NA,NA,NA,NA,NA,NA,NA
"636",1,92,256.683898925781,169,160,521007.6875,247,205
"637",1,92,256.683898925781,169,160,521007.6875,247,205
"638",1,NA,NA,NA,NA,NA,NA,NA
"639",1,NA,NA,NA,NA,NA,NA,NA
"640",1,160,287.327941894531,151,66,196414.109375,246,201
"641",1,160,287.327941894531,151,66,196414.109375,246,201
"642",1,NA,NA,NA,NA,NA,NA,NA
"643",1,NA,NA,NA,NA,NA,NA,NA
"644",1,NA,NA,NA,NA,NA,NA,NA
"645",1,NA,NA,NA,NA,NA,NA,NA
"646",1,NA,NA,NA,NA,NA,NA,NA
"647",1,NA,NA,NA,NA,NA,NA,NA
"648",1,160,287.327941894531,151,66,196414.109375,246,201
"649",1,23,285.724731445312,316,43,160507.015625,257,221
"650",1,NA,NA,NA,NA,NA,NA,NA
"651",1,56,NA,41,NA,NA,267,215
"652",1,NA,NA,NA,NA,NA,NA,NA
"653",1,NA,NA,NA,NA,NA,NA,NA
"654",1,NA,NA,NA,NA,NA,NA,NA
"655",1,NA,NA,NA,NA,NA,NA,NA
"656",1,NA,NA,NA,NA,NA,NA,NA
"657",1,862,211.861526489258,238,268,886585,206,161
"658",1,NA,NA,NA,NA,NA,NA,NA
"659",1,NA,NA,NA,NA,NA,NA,NA
"660",1,NA,NA,NA,NA,NA,NA,NA
"661",1,NA,NA,NA,NA,NA,NA,NA
"662",1,NA,NA,NA,NA,NA,NA,NA
"663",1,NA,NA,NA,NA,NA,NA,NA
"664",1,NA,NA,NA,NA,NA,NA,NA
"665",1,NA,NA,NA,NA,NA,NA,NA
"666",1,NA,NA,NA,NA,NA,NA,NA
"667",1,NA,NA,NA,NA,NA,NA,NA
"668",1,NA,NA,NA,NA,NA,NA,NA
"669",1,NA,NA,NA,NA,NA,NA,NA
"670",1,NA,NA,NA,NA,NA,NA,NA
"671",1,NA,NA,NA,NA,NA,NA,NA
"672",1,NA,NA,NA,NA,NA,NA,NA
"673",1,NA,NA,NA,NA,NA,NA,NA
"674",1,NA,NA,NA,NA,NA,NA,NA
"675",1,NA,NA,NA,NA,NA,NA,NA
"676",1,NA,NA,NA,NA,NA,NA,NA
"677",1,NA,NA,NA,NA,NA,NA,NA
"678",1,NA,NA,NA,NA,NA,NA,NA
"679",1,160,287.327941894531,151,66,196414.109375,246,201
"680",1,NA,NA,NA,NA,NA,NA,NA
"681",1,NA,NA,NA,NA,NA,NA,NA
"682",1,NA,NA,NA,NA,NA,NA,NA
"683",1,NA,NA,NA,NA,NA,NA,NA
"684",1,NA,NA,NA,NA,NA,NA,NA
"685",1,23,285.724731445312,316,43,160507.015625,257,221
"686",1,NA,NA,NA,NA,NA,NA,NA
"687",1,NA,NA,NA,NA,NA,NA,NA
"688",1,NA,NA,NA,NA,NA,NA,NA
"689",1,NA,NA,NA,NA,NA,NA,NA
"690",1,NA,NA,NA,NA,NA,NA,NA
"691",1,NA,NA,NA,NA,NA,NA,NA
"692",1,NA,NA,NA,NA,NA,NA,NA
"693",1,NA,NA,NA,NA,NA,NA,NA
"694",1,NA,NA,NA,NA,NA,NA,NA
"695",1,72,345.650665283203,189,20,66577.0234375,248,204
"696",1,NA,NA,NA,NA,NA,NA,NA
"697",1,NA,NA,NA,NA,NA,NA,NA
"698",1,1178,211.694396972656,251,584,2138418.25,188,144
"699",1,NA,NA,NA,NA,NA,NA,NA
"700",1,NA,NA,NA,NA,NA,NA,NA
"701",1,58,236.633636474609,167,35,73637.625,265,217
"702",1,145,222.239151000977,122,263,836771.5,261,204
"703",1,145,222.239151000977,122,263,836771.5,261,204
"704",1,NA,NA,NA,NA,NA,NA,NA
"705",1,159,250.529693603516,179,96,315014.28125,243,201
"706",1,32,34.2157020568848,377,21,90697.296875,257,228
"707",1,74,NA,39,NA,NA,265,213
"708",1,13,NA,182,NA,NA,268,219
"709",1,NA,NA,NA,NA,NA,NA,NA
"710",1,NA,NA,NA,NA,NA,NA,NA
"711",1,NA,NA,NA,NA,NA,NA,NA
"712",1,NA,NA,NA,NA,NA,NA,NA
"713",1,NA,NA,NA,NA,NA,NA,NA
"714",1,NA,NA,NA,NA,NA,NA,NA
"715",1,1177,349.711395263672,265,295,1419321.875,185,142
"716",1,NA,NA,NA,NA,NA,NA,NA
"717",1,NA,NA,NA,NA,NA,NA,NA
"718",1,NA,NA,NA,NA,NA,NA,NA
"719",1,NA,NA,NA,NA,NA,NA,NA
"720",1,NA,NA,NA,NA,NA,NA,NA
"721",1,NA,NA,NA,NA,NA,NA,NA
"722",1,NA,NA,NA,NA,NA,NA,NA
"723",1,NA,NA,NA,NA,NA,NA,NA
"724",1,NA,NA,NA,NA,NA,NA,NA
"725",1,NA,NA,NA,NA,NA,NA,NA
"726",1,NA,NA,NA,NA,NA,NA,NA
"727",1,NA,NA,NA,NA,NA,NA,NA
"728",1,92,256.683898925781,169,160,521007.6875,247,205
"729",1,124,94.0001831054688,181,225,430047.65625,244,203
"730",1,1250,302.637512207031,272,148,317064.65625,180,137
"731",1,124,94.0001831054688,181,225,430047.65625,244,203
"732",1,862,211.861526489258,238,268,886585,206,161
"733",1,119,281.555480957031,173,172,411847.65625,245,203
"734",1,862,211.861526489258,238,268,886585,206,161
"735",1,119,281.555480957031,173,172,411847.65625,245,203
"736",1,1273,120.854598999023,274,543,2430482.25,179,136
"737",1,124,94.0001831054688,181,225,430047.65625,244,203
"738",1,124,94.0001831054688,181,225,430047.65625,244,203
"739",1,1273,120.854598999023,274,543,2430482.25,179,136
"740",1,28,64.8321304321289,374,41,137559.078125,257,228
"741",1,92,256.683898925781,169,160,521007.6875,247,205
"742",1,33,30.1735191345215,281,19,74608.984375,258,221
"743",1,88,194.420776367188,166,35,108415.8671875,246,204
"744",1,33,30.1735191345215,281,19,74608.984375,258,221
"745",1,88,194.420776367188,166,35,108415.8671875,246,204
"746",1,33,30.1735191345215,281,19,74608.984375,258,221
"747",1,92,256.683898925781,169,160,521007.6875,247,205
"748",1,835,137.888153076172,228,212,1178830.125,209,164
"749",1,NA,NA,NA,NA,NA,NA,NA
"750",1,159,250.529693603516,179,96,315014.28125,243,201
"751",1,159,250.529693603516,179,96,315014.28125,243,201
"752",1,159,250.529693603516,179,96,315014.28125,243,201
"753",1,159,250.529693603516,179,96,315014.28125,243,201
"754",1,159,250.529693603516,179,96,315014.28125,243,201
"755",1,1273,120.854598999023,274,543,2430482.25,179,136
"756",1,1250,302.637512207031,272,148,317064.65625,180,137
"757",1,92,256.683898925781,169,160,521007.6875,247,205
"758",1,88,194.420776367188,166,35,108415.8671875,246,204
"759",1,92,256.683898925781,169,160,521007.6875,247,205
"760",1,92,256.683898925781,169,160,521007.6875,247,205
"761",1,1273,120.854598999023,274,543,2430482.25,179,136
"762",1,88,194.420776367188,166,35,108415.8671875,246,204
"763",1,124,94.0001831054688,181,225,430047.65625,244,203
"764",1,NA,NA,NA,NA,NA,NA,NA
"765",1,33,30.1735191345215,281,19,74608.984375,258,221
"766",1,NA,NA,NA,NA,NA,NA,NA
"767",1,124,94.0001831054688,181,225,430047.65625,244,203
"768",1,835,137.888153076172,228,212,1178830.125,209,164
"769",1,119,281.555480957031,173,172,411847.65625,245,203
"770",1,33,30.1735191345215,281,19,74608.984375,258,221
"771",1,119,281.555480957031,173,172,411847.65625,245,203
"772",1,33,30.1735191345215,281,19,74608.984375,258,221
"773",1,124,94.0001831054688,181,225,430047.65625,244,203
"774",1,124,94.0001831054688,181,225,430047.65625,244,203
"775",1,145,222.239151000977,122,263,836771.5,261,204
"776",1,145,222.239151000977,122,263,836771.5,261,204
"777",1,145,222.239151000977,122,263,836771.5,261,204
"778",1,145,222.239151000977,122,263,836771.5,261,204
"779",1,159,250.529693603516,179,96,315014.28125,243,201
"780",1,159,250.529693603516,179,96,315014.28125,243,201
"781",1,159,250.529693603516,179,96,315014.28125,243,201
"782",1,74,117.474433898926,186,46,42267.0078125,253,206
"783",1,NA,NA,NA,NA,NA,NA,NA
"784",1,NA,NA,NA,NA,NA,NA,NA
"785",1,NA,NA,NA,NA,NA,NA,NA
"786",1,NA,NA,NA,NA,NA,NA,NA
"787",1,NA,NA,NA,NA,NA,NA,NA
"788",1,NA,NA,NA,NA,NA,NA,NA
"789",1,NA,NA,NA,NA,NA,NA,NA
"790",1,NA,NA,NA,NA,NA,NA,NA
"791",1,NA,NA,NA,NA,NA,NA,NA
"792",1,NA,NA,NA,NA,NA,NA,NA
"793",1,NA,NA,NA,NA,NA,NA,NA
"794",1,NA,NA,NA,NA,NA,NA,NA
"795",1,NA,NA,NA,NA,NA,NA,NA
"796",1,NA,NA,NA,NA,NA,NA,NA
"797",1,NA,NA,NA,NA,NA,NA,NA
"798",1,NA,NA,NA,NA,NA,NA,NA
"799",1,862,211.861526489258,238,268,886585,206,161
"800",1,862,211.861526489258,238,268,886585,206,161
"801",1,33,347.822875976562,279,160,583120.0625,258,220
"802",1,33,347.822875976562,279,160,583120.0625,258,220
"803",1,33,347.822875976562,279,160,583120.0625,258,220
"804",1,28,64.8321304321289,374,41,137559.078125,257,228
"805",1,1257,126.060440063477,273,200,191119.078125,180,137
"806",1,NA,NA,NA,NA,NA,NA,NA
"807",1,NA,NA,NA,NA,NA,NA,NA
"808",1,NA,NA,NA,NA,NA,NA,NA
"809",1,NA,NA,NA,NA,NA,NA,NA
"810",1,NA,NA,NA,NA,NA,NA,NA
"811",1,NA,NA,NA,NA,NA,NA,NA
"812",1,1257,126.060440063477,273,200,191119.078125,180,137
"813",1,NA,NA,NA,NA,NA,NA,NA
"814",1,NA,NA,NA,NA,NA,NA,NA
"815",1,NA,NA,NA,NA,NA,NA,NA
"816",1,NA,NA,NA,NA,NA,NA,NA
"817",1,NA,NA,NA,NA,NA,NA,NA
"818",1,NA,NA,NA,NA,NA,NA,NA
"819",1,NA,NA,NA,NA,NA,NA,NA
"820",1,NA,NA,NA,NA,NA,NA,NA
"821",1,NA,NA,NA,NA,NA,NA,NA
"822",1,NA,NA,NA,NA,NA,NA,NA
"823",1,88,92.321533203125,185,115,222182.359375,262,211
"824",1,1257,126.060440063477,273,200,191119.078125,180,137
"825",1,124,20.6589126586914,62,67,195576.078125,261,210
"826",1,124,20.6589126586914,62,67,195576.078125,261,210
"827",1,NA,NA,NA,NA,NA,NA,NA
"828",1,NA,NA,NA,NA,NA,NA,NA
"829",1,33,30.1735191345215,281,19,74608.984375,258,221
"830",1,124,20.6589126586914,62,67,195576.078125,261,210
"831",1,124,20.6589126586914,62,67,195576.078125,261,210
"832",1,124,20.6589126586914,62,67,195576.078125,261,210
"833",1,124,20.6589126586914,62,67,195576.078125,261,210
"834",1,124,20.6589126586914,62,67,195576.078125,261,210
"835",1,124,20.6589126586914,62,67,195576.078125,261,210
"836",1,124,20.6589126586914,62,67,195576.078125,261,210
"837",1,NA,NA,NA,NA,NA,NA,NA
"838",1,NA,NA,NA,NA,NA,NA,NA
"839",1,NA,NA,NA,NA,NA,NA,NA
"840",1,NA,NA,NA,NA,NA,NA,NA
"841",1,NA,NA,NA,NA,NA,NA,NA
"842",1,NA,NA,NA,NA,NA,NA,NA
"843",1,155,268.391479492188,64,394,1923758,258,208
"844",1,NA,NA,NA,NA,NA,NA,NA
"845",1,NA,NA,NA,NA,NA,NA,NA
"846",1,NA,NA,NA,NA,NA,NA,NA
"847",1,NA,NA,NA,NA,NA,NA,NA
"848",1,NA,NA,NA,NA,NA,NA,NA
"849",1,NA,NA,NA,NA,NA,NA,NA
"850",1,NA,NA,NA,NA,NA,NA,NA
"851",1,NA,NA,NA,NA,NA,NA,NA
"852",1,NA,NA,NA,NA,NA,NA,NA
"853",1,23,285.724731445312,316,43,160507.015625,257,221
"854",1,124,20.6589126586914,62,67,195576.078125,261,210
"855",1,124,20.6589126586914,62,67,195576.078125,261,210
"856",1,121,46.6823310852051,130,369,1517398.125,263,206
"857",1,74,117.474433898926,186,46,42267.0078125,253,206
"858",1,74,117.474433898926,186,46,42267.0078125,253,206
"859",1,NA,NA,NA,NA,NA,NA,NA
"860",1,NA,NA,NA,NA,NA,NA,NA
"861",1,NA,NA,NA,NA,NA,NA,NA
"862",1,NA,NA,NA,NA,NA,NA,NA
"863",1,NA,NA,NA,NA,NA,NA,NA
"864",1,NA,NA,NA,NA,NA,NA,NA
"865",1,NA,NA,NA,NA,NA,NA,NA
"866",1,NA,NA,NA,NA,NA,NA,NA
"867",1,NA,NA,NA,NA,NA,NA,NA
"868",1,NA,NA,NA,NA,NA,NA,NA
"869",1,NA,NA,NA,NA,NA,NA,NA
"870",1,NA,NA,NA,NA,NA,NA,NA
"871",1,115,168.070678710938,65,201,217701.625,260,209
"872",1,115,318.044799804688,62,65,199686,260,210
"873",1,115,318.044799804688,62,65,199686,260,210
"874",1,115,318.044799804688,62,65,199686,260,210
"875",1,115,168.070678710938,65,201,217701.625,260,209
"876",1,124,20.6589126586914,62,67,195576.078125,261,210
"877",1,124,20.6589126586914,62,67,195576.078125,261,210
"878",1,124,20.6589126586914,62,67,195576.078125,261,210
"879",1,124,20.6589126586914,62,67,195576.078125,261,210
"880",1,124,20.6589126586914,62,67,195576.078125,261,210
"881",1,124,20.6589126586914,62,67,195576.078125,261,210
"882",1,124,20.6589126586914,62,67,195576.078125,261,210
"883",1,124,20.6589126586914,62,67,195576.078125,261,210
"884",1,124,20.6589126586914,62,67,195576.078125,261,210
"885",1,124,20.6589126586914,62,67,195576.078125,261,210
"886",1,NA,NA,NA,NA,NA,NA,NA
"887",1,NA,NA,NA,NA,NA,NA,NA
"888",1,NA,NA,NA,NA,NA,NA,NA
"889",1,NA,NA,NA,NA,NA,NA,NA
"890",1,NA,NA,NA,NA,NA,NA,NA
"891",1,NA,NA,NA,NA,NA,NA,NA
"892",1,NA,NA,NA,NA,NA,NA,NA
"893",1,NA,NA,NA,NA,NA,NA,NA
"894",1,NA,NA,NA,NA,NA,NA,NA
"895",1,NA,NA,NA,NA,NA,NA,NA
"896",1,NA,NA,NA,NA,NA,NA,NA
"897",1,NA,NA,NA,NA,NA,NA,NA
"898",1,NA,NA,NA,NA,NA,NA,NA
"899",1,NA,NA,NA,NA,NA,NA,NA
"900",1,NA,NA,NA,NA,NA,NA,NA
"901",1,NA,NA,NA,NA,NA,NA,NA
"902",1,NA,NA,NA,NA,NA,NA,NA
"903",1,NA,NA,NA,NA,NA,NA,NA
"904",1,NA,NA,NA,NA,NA,NA,NA
"905",1,NA,NA,NA,NA,NA,NA,NA
"906",1,NA,NA,NA,NA,NA,NA,NA
"907",1,NA,NA,NA,NA,NA,NA,NA
"908",1,NA,NA,NA,NA,NA,NA,NA
"909",1,NA,NA,NA,NA,NA,NA,NA
"910",1,NA,NA,NA,NA,NA,NA,NA
"911",1,NA,NA,NA,NA,NA,NA,NA
"912",1,NA,NA,NA,NA,NA,NA,NA
"913",1,NA,NA,NA,NA,NA,NA,NA
"914",1,NA,NA,NA,NA,NA,NA,NA
"915",1,92,256.683898925781,169,160,521007.6875,247,205
"916",1,98,315,170,34,95459.4140625,246,204
"917",1,145,222.239151000977,122,263,836771.5,261,204
"918",1,NA,NA,NA,NA,NA,NA,NA
"919",1,NA,NA,NA,NA,NA,NA,NA
"920",1,NA,NA,NA,NA,NA,NA,NA
"921",1,NA,NA,NA,NA,NA,NA,NA
"922",1,NA,NA,NA,NA,NA,NA,NA
"923",1,NA,NA,NA,NA,NA,NA,NA
"924",1,NA,NA,NA,NA,NA,NA,NA
"925",1,NA,NA,NA,NA,NA,NA,NA
"926",1,NA,NA,NA,NA,NA,NA,NA
"927",1,NA,NA,NA,NA,NA,NA,NA
"928",1,NA,NA,NA,NA,NA,NA,NA
"929",1,33,347.822875976562,279,160,583120.0625,258,220
"930",1,NA,NA,NA,NA,NA,NA,NA
"931",1,NA,NA,NA,NA,NA,NA,NA
"932",1,NA,NA,NA,NA,NA,NA,NA
"933",1,NA,NA,NA,NA,NA,NA,NA
"934",1,NA,NA,NA,NA,NA,NA,NA
"935",1,NA,NA,NA,NA,NA,NA,NA
"936",1,NA,NA,NA,NA,NA,NA,NA
"937",1,NA,NA,NA,NA,NA,NA,NA
"938",1,NA,NA,NA,NA,NA,NA,NA
"939",1,NA,NA,NA,NA,NA,NA,NA
"940",1,NA,NA,NA,NA,NA,NA,NA
"941",1,NA,NA,NA,NA,NA,NA,NA
"942",1,NA,NA,NA,NA,NA,NA,NA
"943",1,NA,NA,NA,NA,NA,NA,NA
"944",1,NA,NA,NA,NA,NA,NA,NA
"945",1,NA,NA,NA,NA,NA,NA,NA
"946",1,NA,NA,NA,NA,NA,NA,NA
"947",1,NA,NA,NA,NA,NA,NA,NA
"948",1,NA,NA,NA,NA,NA,NA,NA
"949",1,NA,NA,NA,NA,NA,NA,NA
"950",1,NA,NA,NA,NA,NA,NA,NA
"951",1,NA,NA,NA,NA,NA,NA,NA
"952",1,NA,NA,NA,NA,NA,NA,NA
"953",1,NA,NA,NA,NA,NA,NA,NA
"954",1,NA,NA,NA,NA,NA,NA,NA
"955",1,NA,NA,NA,NA,NA,NA,NA
"956",1,NA,NA,NA,NA,NA,NA,NA
"957",1,NA,NA,NA,NA,NA,NA,NA
"958",1,NA,NA,NA,NA,NA,NA,NA
"959",1,NA,NA,NA,NA,NA,NA,NA
"960",1,NA,NA,NA,NA,NA,NA,NA
"961",1,NA,NA,NA,NA,NA,NA,NA
"962",1,NA,NA,NA,NA,NA,NA,NA
"963",1,NA,NA,NA,NA,NA,NA,NA
"964",1,NA,NA,NA,NA,NA,NA,NA
"965",1,NA,NA,NA,NA,NA,NA,NA
"966",1,NA,NA,NA,NA,NA,NA,NA
"967",1,NA,NA,NA,NA,NA,NA,NA
"968",1,92,256.683898925781,169,160,521007.6875,247,205
"969",1,NA,NA,NA,NA,NA,NA,NA
"970",1,NA,NA,NA,NA,NA,NA,NA
"971",1,NA,NA,NA,NA,NA,NA,NA
"972",1,NA,NA,NA,NA,NA,NA,NA
"973",1,NA,NA,NA,NA,NA,NA,NA
"974",1,NA,NA,NA,NA,NA,NA,NA
"975",1,NA,NA,NA,NA,NA,NA,NA
"976",1,97,248.597732543945,169,97,439830.09375,246,204
"977",1,101,283.309173583984,170,198,860100.5625,246,204
"978",1,NA,NA,NA,NA,NA,NA,NA
"979",1,NA,NA,NA,NA,NA,NA,NA
"980",1,92,256.683898925781,169,160,521007.6875,247,205
"981",1,160,287.327941894531,151,66,196414.109375,246,201
"982",1,160,287.327941894531,151,66,196414.109375,246,201
"983",1,160,287.327941894531,151,66,196414.109375,246,201
"984",1,NA,NA,NA,NA,NA,NA,NA
"985",1,NA,NA,NA,NA,NA,NA,NA
"986",1,NA,NA,NA,NA,NA,NA,NA
"987",1,NA,NA,NA,NA,NA,NA,NA
"988",1,NA,NA,NA,NA,NA,NA,NA
"989",1,NA,NA,NA,NA,NA,NA,NA
"990",1,NA,NA,NA,NA,NA,NA,NA
"991",1,120,318.652221679688,132,146,99904.953125,257,213
"992",1,120,318.652221679688,132,146,99904.953125,257,213
"993",1,120,318.652221679688,132,146,99904.953125,257,213
"994",1,120,318.652221679688,132,146,99904.953125,257,213
"995",1,120,318.652221679688,132,146,99904.953125,257,213
"996",1,NA,NA,NA,NA,NA,NA,NA
"997",1,NA,NA,NA,NA,NA,NA,NA
"998",1,NA,NA,NA,NA,NA,NA,NA
"999",1,NA,NA,NA,NA,NA,NA,NA
"1000",1,NA,NA,NA,NA,NA,NA,NA
"1001",1,NA,NA,NA,NA,NA,NA,NA
"1002",1,33,347.822875976562,279,160,583120.0625,258,220
"1003",1,92,256.683898925781,169,160,521007.6875,247,205
"1004",1,92,256.683898925781,169,160,521007.6875,247,205
"1005",1,695,75.0407257080078,226,472,1987352.25,218,172
"1006",1,NA,NA,NA,NA,NA,NA,NA
"1007",1,NA,NA,NA,NA,NA,NA,NA
"1008",1,NA,NA,NA,NA,NA,NA,NA
"1009",1,NA,NA,NA,NA,NA,NA,NA
"1010",1,NA,NA,NA,NA,NA,NA,NA
"1011",1,88,222.397430419922,188,74,93434.46875,254,206
"1012",1,67,168.407821655273,187,28,119436.171875,255,207
"1013",1,89,146.309936523438,187,143,281233,253,205
"1014",1,89,146.309936523438,187,143,281233,253,205
"1015",1,985,209.128814697266,238,562,2474450,201,156
"1016",1,985,209.128814697266,238,562,2474450,201,156
"1017",1,23,285.724731445312,316,43,160507.015625,257,221
"1018",1,23,285.724731445312,316,43,160507.015625,257,221
"1019",1,943,186.764526367188,235,376,1744645.125,203,158
"1020",1,1583,53.0218391418457,254,441,1428902.5,165,122
"1021",1,NA,NA,NA,NA,NA,NA,NA
"1022",1,NA,NA,NA,NA,NA,NA,NA
"1023",1,NA,NA,NA,NA,NA,NA,NA
"1024",1,NA,NA,NA,NA,NA,NA,NA
"1025",1,NA,NA,NA,NA,NA,NA,NA
"1026",1,NA,NA,NA,NA,NA,NA,NA
"1027",1,NA,NA,NA,NA,NA,NA,NA
"1028",1,NA,NA,NA,NA,NA,NA,NA
"1029",1,NA,NA,NA,NA,NA,NA,NA
"1030",1,NA,NA,NA,NA,NA,NA,NA
"1031",1,NA,NA,NA,NA,NA,NA,NA
"1032",1,NA,NA,NA,NA,NA,NA,NA
"1033",1,NA,NA,NA,NA,NA,NA,NA
"1034",1,NA,NA,NA,NA,NA,NA,NA
"1035",1,NA,NA,NA,NA,NA,NA,NA
"1036",1,NA,NA,NA,NA,NA,NA,NA
"1037",1,NA,NA,NA,NA,NA,NA,NA
"1038",1,NA,NA,NA,NA,NA,NA,NA
"1039",1,NA,NA,NA,NA,NA,NA,NA
"1040",1,NA,NA,NA,NA,NA,NA,NA
"1041",1,NA,NA,NA,NA,NA,NA,NA
"1042",1,NA,NA,NA,NA,NA,NA,NA
"1043",1,NA,NA,NA,NA,NA,NA,NA
"1044",1,NA,NA,NA,NA,NA,NA,NA
"1045",1,NA,NA,NA,NA,NA,NA,NA
"1046",1,NA,NA,NA,NA,NA,NA,NA
"1047",1,NA,NA,NA,NA,NA,NA,NA
"1048",1,NA,NA,NA,NA,NA,NA,NA
"1049",1,NA,NA,NA,NA,NA,NA,NA
"1050",1,NA,NA,NA,NA,NA,NA,NA
"1051",1,NA,NA,NA,NA,NA,NA,NA
"1052",1,NA,NA,NA,NA,NA,NA,NA
